4.827e-06,8.416e-06,9.1632e-05,7.3167e-05,7.786e-06,2
1.072e-05,1.7714e-05,0.00012639,0.00010659,1.7004e-05,4
3.454e-05,4.6435e-05,0.00029378,0.00086423,4.6224e-05,8
0.000227861,0.000256721,0.000615533,0.001882,0.000185767,16
0.0011881,0.0011929,0.00184661,0.0151124,0.00130033,32
0.00998785,0.0133163,0.0091933,0.0378892,0.00786288,64
0.0623443,0.0602812,0.0600034,0.233307,0.058022,128
0.465205,0.457289,0.439529,0.777346,0.464455,256
3.63855,3.66377,3.26774,5.37908,3.6965,512
30.3461,30.2832,25.3322,24.4636,30.4335,1024
250.061,247.936,210.765,173.508,249.732,2048
2015.79,2023.04,1773.27,1099.96,2357.4,4096
